Rank,City,State,2020 Estimate
139,Worcester , Massachusetts ," 184,570.00 "
140,Brownsville , Texas ," 183,428.00 "
141,Ontario , California ," 183,393.00 "
142,Fort Lauderdale , Florida ," 182,245.00 "
143,Peoria , Arizona ," 179,872.00 "
144,Providence , Rhode Island ," 179,270.00 "
145,Newport News[m] , Virginia ," 179,062.00 "
146,Rancho Cucamonga , California ," 178,849.00 "
147,Elk Grove , California ," 177,302.00 "
148,Salem , Oregon ," 175,891.00 "
149,Oceanside , California ," 174,648.00 "
150,Santa Rosa , California ," 174,613.00 "
151,Pembroke Pines , Florida ," 174,414.00 "
152,Cary[v] , North Carolina ," 173,587.00 "
153,Eugene , Oregon ," 173,236.00 "
154,Garden Grove , California ," 171,366.00 "
155,Corona , California ," 170,996.00 "
156,Fort Collins , Colorado ," 168,234.00 "
157,Springfield , Missouri ," 168,090.00 "
158,Clarksville , Tennessee ," 161,247.00 "
159,Alexandria[m] , Virginia ," 158,726.00 "
160,Hayward , California ," 157,966.00 "
161,Jackson , Mississippi ," 157,821.00 "
162,Lakewood , Colorado ," 157,429.00 "
163,Lancaster , California ," 155,822.00 "
164,Salinas , California ," 154,868.00 "
165,Hollywood , Florida ," 154,611.00 "
166,Killeen , Texas ," 153,991.00 "
167,Macon[w] , Georgia ," 152,737.00 "
168,Kansas City[x] , Kansas ," 152,727.00 "
169,Springfield , Massachusetts ," 152,646.00 "
170,Sunnyvale , California ," 151,746.00 "
171,Murfreesboro , Tennessee ," 150,757.00 "
172,Palmdale , California ," 150,498.00 "
173,Escondido , California ," 149,943.00 "
174,Pasadena , Texas ," 149,440.00 "
175,Pomona , California ," 149,212.00 "
176,Thornton , Colorado ," 148,113.00 "
177,Bellevue , Washington ," 148,073.00 "
178,Naperville , Illinois ," 147,986.00 "
179,Surprise , Arizona ," 147,965.00 "
180,Denton , Texas ," 147,515.00 "
181,Midland , Texas ," 147,069.00 "
182,Joliet , Illinois ," 146,673.00 "
183,Rockford , Illinois ," 144,835.00 "
184,Paterson , New Jersey ," 144,801.00 "
185,Roseville , California ," 144,725.00 "
186,McAllen , Texas ," 143,751.00 "
187,Savannah , Georgia ," 143,632.00 "
188,Bridgeport , Connecticut ," 143,525.00 "
189,Olathe , Kansas ," 141,665.00 "
190,Torrance , California ," 141,553.00 "
191,Waco , Texas ," 141,377.00 "
192,Syracuse , New York ," 141,229.00 "
193,Miramar , Florida ," 141,150.00 "
194,Pasadena , California ," 141,045.00 "
195,Fullerton , California ," 139,921.00 "
196,Dayton , Ohio ," 139,907.00 "
197,Carrollton , Texas ," 139,892.00 "
198,Charleston , South Carolina ," 139,892.00 "
199,Mesquite , Texas ," 138,916.00 "
200,Orange , California ," 138,192.00 "
201,Round Rock , Texas ," 137,575.00 "
202,Hampton[m] , Virginia ," 135,464.00 "
203,Visalia , California ," 135,007.00 "
204,Gainesville , Florida ," 135,004.00 "
205,Cedar Rapids , Iowa ," 134,027.00 "
206,West Valley City , Utah ," 133,894.00 "
207,Coral Springs , Florida ," 133,519.00 "
208,Warren , Michigan ," 132,877.00 "
209,Columbia , South Carolina ," 132,130.00 "
210,Sterling Heights , Michigan ," 131,709.00 "
211,Stamford , Connecticut ," 131,397.00 "
212,Santa Clara , California ," 131,055.00 "
